First Round,4th Feb 2025,03rd Mar 2025,"Apr 8, 2025",5th May,,17th July 2025,4th Aug 2025,1st Sept 2025, 17th Nov 2025,16th Feb 2026,Mar 4
,4th Feb 2025,03rd Mar 2025,21st April 2025,,,18th July 2025,6th Aug 2025,2nd placement 2nd Sept 2025, 17th Nov 2025,16th Feb 2026,march
,4th Feb 2025,03rd Mar 2025,22nd April 2025,,,21st July 2025,6th Aug 2025,3rd sept 2025, 17th Nov 2025,Feb 16,march
,5th Feb 2025,4th March 2025,23rd April 2025,,,21st July 2025,6th Aug 2025,2nd short 3rd Sept 2025,,Feb 17,march
,5th Feb 2025,5th March 2025,24th April,,,22nd July 2025,7th Aug 2025,3rd short 6th Sept 2025,,17th FEB 2026,
,5th Feb 2025,5th March 2025,25th April,,,23rd July 2025,7th Aug 2025,3rd placement 9th Sept 2025,,17th FEB 2026,
,5th Feb 2025,5th March 2025,,,,,7th Aug 2025,9th Sept 2025,,18th FEB 2026,
,5th Feb 2025,5th March 2025,28th April,,,,8th Aug 2025,4th placement 17th Sept 2025,,Feb 18,
,6th Feb 2025,5th March 2025,,,,,8th Aug 2025,20th Sept 2025,,Feb 19,
,5th Feb 2025,"Mar 7, 2025",,,,,11th Aug 2025,,,Feb 19,
,6th Feb 2025,"Mar 10, 2025",29th April,,,,11th Aug 2025,,,Feb 19,
,6th Feb 2025,"Mar 12, 2025",,,,,11th Aug 2025,,,Feb 19,
,6th Feb 2025,"Mar 12, 2025",30th April,,,,11th Aug 2025,,,Feb 20,
,7th Feb 2025,"Mar 13, 2025",,,,,12th Aug 2025,,,Feb 20,
,7th Feb 2025,"Mar 14, 2025",,,,,12th Aug 2025,,,Feb 20,
,8th Feb 2025,,,,,,12th Aug 2025,,,Feb 22,
,8th Feb 2025,,,,,,12th Aug 2025,,,Feb 23,
,10th Feb 2025,,,,,,12th Aug 2025,,,Feb 23,
,10th Feb 2025,,,,,,12th Aug 2025,,,Feb 23,
,10th Feb 2025,,,,,,13th Aug 2025,,,Feb 23,
,11th Feb 2025,,,,,,13th Aug 2025,,,24th Feb 2026,
,11th Feb 2025,,,,,,13th Aug 2025,,,Feb 24,
,11th Feb 2025,,,,,,13th Aug 2025,,,Feb 24,
,11th Feb 2025,,,,,,13th Aug 2025,,,Feb 25,
,"12th Feb 2025
13th Feb 2025",,,,,,14th Aug 2025,,,Feb 25,
,12th Feb 2025,,,,,,14th aug 2025,,,Feb 25,
,12th Feb 2025,,,,,,14th aug 2025,,,Feb 26,
,12th Feb 2025,,,,,,14th aug 2025,,,Feb 26,
,12th Feb 2025,,,,,,15th Aug 2025,,,Feb 26,
,12th Feb 2025,,,,,,15th Aug 2025,,,Feb 27,
,13th Feb 2025,,,,,,15th Aug 2025,,,,
,13th Feb 2025,,,,,,15th Aug 2025,,,,
,13th Feb 2025,,,,,,15th Aug 2025,,,,
,13th Feb 2025,,,,,,15th Aug 2025,,,,
,14th Feb 2025,,,,,,18th Aug 2025,,,,
,16th Feb 2025,,,,,,19th Aug 2025,,,,
,17th Feb 2025,,,,,,19th Aug 2025,,,,
,18th Feb 2025,,,,,,21st Aug 2025,,,,
,18th Feb 2025,,,,,,22nd Aug 2025,,,,
,18th Feb 2025,,,,,,24th Aug 2025,,,,
,18th Feb 2025,,,,,,25th Aug 2025,,,,
,17th Feb 2025,,,,,,25th Aug 2025,,,,
,19th Feb 2025,,,,,,1st placement 26th Aug,,,,
,21st Feb 2025,,,,,,28th Aug 2025,,,,
,21st Feb 2025,,,,,,1st short 28th Aug 2025,,,,
,25th Feb 2025,,,,,,,,,,
,26th Feb 2025,,,,,,,,,,
,26th Feb 2025,,,,,,,,,,
,27th Feb 2025,,,,,,,,,,
,28th Feb 2025,,,,,,,,,,
,28th Feb 2025,,,,,,,,,,
,28th Feb 2025,,,,,,,,,,
,28th Feb 2025,,,,,,,,,,